Rk_x,Player,Pos,Age,Tm_x,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk_y,Tm_y,year0,year1,year2,year3,year4,year5,Signed Using, Guaranteed 
1,alex abrines,SG,25.0,OKC,31.0,588.0,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.7,0.054000000000000006,-2.5,-1.0,-3.4,-0.2,200,OKC,5455236,,,,,,,5455236
2,quincy acy,PF,28.0,PHO,10.0,123.0,2.9,0.379,0.833,0.556,2.7,20.2,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0.1,-0.1,-0.02,-5.6,-0.3,-5.9,-0.1,509,PHO,213949,,,,,,,213949
3,jaylen adams,PG,22.0,ATL,32.0,393.0,7.9,0.479,0.6890000000000001,0.078,2.9,11.5,7.1,20.4,1.5,1.1,19.6,13.7,-0.1,0.2,0.1,0.013999999999999999,-2.8,-1.5,-4.3,-0.2,508,ATL,236854,1416852,,,,,,236854
4,steven adams,C,25.0,OKC,77.0,2593.0,18.9,0.596,0.003,0.36,14.6,14.8,14.7,6.8,2.1,2.4,12.6,16.4,5.1,4.0,9.1,0.168,0.8,2.2,3.0,3.3,28,OKC,24157304,25842697,27528090,,,,1st Round Pick,77528091
5,bam adebayo,C,21.0,MIA,79.0,1841.0,17.8,0.623,0.027999999999999997,0.469,9.3,23.7,16.5,14.4,1.8,3.1,17.3,15.6,3.4,3.2,6.6,0.171,-0.5,3.6,3.0,2.4,272,MIA,2955840,3454080,5115492,,,,1st Round Pick,6409920
6,deng adel,SF,21.0,CLE,17.0,187.0,1.7,0.376,0.629,0.057,1.1,9.3,5.0,3.5,0.3,1.8,12.2,9.6,-0.2,0.0,-0.3,-0.07,-5.8,-1.8,-7.6,-0.3,,,,,,,,,,
7,devaughn akoon-purcell,SG,25.0,DEN,7.0,22.0,8.2,0.322,0.4,0.2,4.9,14.8,9.9,37.1,4.5,0.0,15.5,25.0,-0.1,0.0,0.0,-0.049,-4.3,0.8,-3.5,0.0,,,,,,,,,,
8,lamarcus aldridge,C,33.0,SAS,79.0,2621.0,22.7,0.573,0.031,0.312,10.1,19.6,14.9,11.7,0.8,3.4,8.8,26.9,6.1,2.7,8.8,0.161,1.1,0.4,1.5,2.3,38,SAS,22347015,26000000,24000000,,,,Cap Space,55347015
9,rawle alkins,SG,21.0,CHI,8.0,88.0,9.4,0.41700000000000004,0.344,0.281,12.3,16.3,14.2,17.7,0.6,0.0,16.3,21.3,-0.1,0.0,-0.1,-0.039,-3.4,-2.2,-5.6,-0.1,,,,,,,,,,
10,grayson allen,SG,23.0,UTA,35.0,347.0,6.1,0.514,0.589,0.298,0.3,4.0,2.2,8.4,0.7,1.1,15.4,23.2,-0.5,0.3,-0.1,-0.015,-4.2,-3.1,-7.3,-0.5,338,UTA,2074320,2429400,2545320,4054695,,,1st Round Pick,4503720
11,jarrett allen,C,20.0,BRK,78.0,2046.0,18.8,0.637,0.079,0.498,9.7,23.7,16.8,7.9,1.0,4.5,12.9,15.9,4.5,3.1,7.5,0.177,-0.5,3.1,2.6,2.4,339,BRK,2034120,2376840,3909902,,,,1st Round Pick,4410960
12,kadeem allen,SG,26.0,NYK,18.0,387.0,15.7,0.5820000000000001,0.252,0.35100000000000003,2.1,10.6,6.2,27.7,1.7,0.7,14.7,19.5,0.6,0.2,0.8,0.10300000000000001,0.3,-1.9,-1.6,0.0,,,,,,,,,,
13,al-farouq aminu,PF,28.0,POR,79.0,2246.0,13.0,0.568,0.474,0.28800000000000003,5.3,22.6,14.1,6.1,1.4,1.1,9.9,13.5,2.9,2.7,5.6,0.12,0.0,0.8,0.8,1.6,179,POR,6957105,,,,,,Cap Space,6957105
14,justin anderson,SF,25.0,ATL,46.0,432.0,11.0,0.501,0.483,0.20800000000000002,5.5,13.7,9.5,6.8,2.2,2.6,11.0,17.2,0.0,0.3,0.3,0.037000000000000005,-2.8,-0.6,-3.4,-0.2,291,ATL,2516048,,,,,,1st Round pick,2516048
15,kyle anderson,SF,25.0,MEM,43.0,1281.0,12.8,0.569,0.12300000000000001,0.23199999999999998,4.1,18.2,11.0,15.0,2.1,2.7,16.0,12.6,0.8,1.8,2.7,0.1,-2.1,3.2,1.1,1.0,148,MEM,8641000,9073050,9505100,9937150,,,MLE,37156300
16,ryan anderson,PF,30.0,TOT,24.0,321.0,4.6,0.414,0.58,0.23199999999999998,6.1,12.6,9.3,7.8,0.6,0.3,15.5,12.0,-0.3,0.0,-0.2,-0.033,-4.4,-1.9,-6.4,-0.3,44,MIA,20421546,15600000,,,,,Cap Space,36021546
16,ryan anderson,PF,30.0,PHO,15.0,278.0,4.6,0.423,0.5670000000000001,0.233,5.5,12.6,9.0,8.1,0.5,0.3,15.4,12.1,-0.2,0.0,-0.2,-0.037000000000000005,-4.4,-2.1,-6.5,-0.3,44,MIA,20421546,15600000,,,,,Cap Space,36021546
