,,, Salary ,,,,,,,
Rk,Player,Tm, 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 ,Signed Using, Guaranteed 
1,Stephen Curry,GSW," 37,457,154.00 "," 40,231,758.00 "," 43,006,362.00 "," 45,780,966.00 ",,,Bird Rights," 166,476,240.00 "
2,Chris Paul,HOU," 35,654,150.00 "," 38,506,482.00 "," 41,358,814.00 "," 44,211,146.00 ",,,," 159,730,592.00 "
3,Russell Westbrook,OKC," 35,654,150.00 "," 38,178,000.00 "," 41,006,000.00 "," 43,848,000.00 "," 46,662,000.00 ",,Bird Rights," 158,686,150.00 "
4,LeBron James,LAL," 35,654,150.00 "," 37,436,858.00 "," 39,219,565.00 "," 41,002,273.00 ",,,," 113,310,573.00 "
5,Blake Griffin,DET," 32,088,932.00 "," 34,234,964.00 "," 36,595,996.00 "," 38,957,028.00 ",,,Bird Rights," 102,919,892.00 "
6,Gordon Hayward,BOS," 31,214,295.00 "," 32,700,690.00 "," 34,187,085.00 ",,,,Cap space," 63,914,985.00 "
7,Kyle Lowry,TOR," 31,200,000.00 "," 33,296,296.00 ",,,,,Bird Rights," 64,496,296.00 "
8,Paul George,OKC," 30,560,700.00 "," 33,005,556.00 "," 35,450,412.00 "," 37,895,268.00 ",,,Maximum Salary," 99,016,668.00 "
9,Mike Conley,MEM," 30,521,116.00 "," 32,511,623.00 "," 34,504,132.00 ",,,,Cap Space," 85,459,122.00 "
10,James Harden,HOU," 30,431,854.00 "," 37,800,000.00 "," 40,824,000.00 "," 43,848,000.00 "," 46,872,000.00 ",,Bird Rights," 152,903,854.00 "
11,Kevin Durant,GSW," 30,000,000.00 "," 31,500,000.00 ",,,,,," 30,000,000.00 "
12,Paul Millsap,DEN," 29,730,769.00 "," 30,500,000.00 ",,,,,Cap space," 29,730,769.00 "
13,Al Horford,BOS," 28,928,710.00 "," 30,123,015.00 ",,,,,Cap Space," 28,928,710.00 "
14,Damian Lillard,POR," 27,977,689.00 "," 29,802,321.00 "," 31,626,953.00 ",,,,1st Round Pick," 89,406,963.00 "
15,DeMar DeRozan,SAS," 27,739,975.00 "," 27,739,975.00 "," 27,739,975.00 ",,,,Cap Space," 55,479,950.00 "
16,Chris Bosh,MIA," 26,837,720.00 ",,,,,,," 26,837,720.00 "
17,Otto Porter,CHI," 26,011,913.00 "," 27,250,576.00 "," 28,489,239.00 ",,,,Bird Rights," 53,262,489.00 "
18,Jrue Holiday,NOP," 25,976,111.00 "," 26,131,111.00 "," 26,131,111.00 "," 27,020,000.00 ",,,Bird Rights," 78,238,333.00 "
19,CJ McCollum,POR," 25,759,766.00 "," 27,556,959.00 "," 29,354,152.00 ",,,,1st Round Pick," 82,670,877.00 "
20,Carmelo Anthony,ATL," 25,534,253.00 ",,,,,,," 25,534,253.00 "
,,, Salary ,,,,,,,
Rk,Player,Tm, 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 ,Signed Using, Guaranteed 
21,Andrew Wiggins,MIN," 25,467,250.00 "," 27,270,000.00 "," 29,290,000.00 "," 31,310,000.00 "," 33,330,000.00 ",,1st Round Pick," 146,667,250.00 "
22,Joel Embiid,PHI," 25,467,250.00 "," 27,270,000.00 "," 29,290,000.00 "," 31,310,000.00 "," 33,330,000.00 ",,1st Round Pick," 25,467,250.00 "
