,,, Salary ,,,,,,,
Rk,Player,Tm,year0,year1,year2,year3,year4,year5,Signed Using, Guaranteed 
1,Stephen Curry,GSW,37457154,40231758,43006362,45780966,,,Bird Rights,166476240
2,Chris Paul,HOU,35654150,38506482,41358814,44211146,,,,159730592
3,Russell Westbrook,OKC,35654150,38178000,41006000,43848000,46662000,,Bird Rights,158686150
4,LeBron James,LAL,35654150,37436858,39219565,41002273,,,,113310573
5,Blake Griffin,DET,32088932,34234964,36595996,38957028,,,Bird Rights,102919892
6,Gordon Hayward,BOS,31214295,32700690,34187085,,,,Cap space,63914985
7,Kyle Lowry,TOR,31200000,33296296,,,,,Bird Rights,64496296
8,Paul George,OKC,30560700,33005556,35450412,37895268,,,Maximum Salary,99016668
9,Mike Conley,MEM,30521116,32511623,34504132,,,,Cap Space,85459122
10,James Harden,HOU,30431854,37800000,40824000,43848000,46872000,,Bird Rights,152903854
11,Kevin Durant,GSW,30000000,31500000,,,,,,30000000
12,Paul Millsap,DEN,29730769,30500000,,,,,Cap space,29730769
13,Al Horford,BOS,28928710,30123015,,,,,Cap Space,28928710
14,Damian Lillard,POR,27977689,29802321,31626953,,,,1st Round Pick,89406963
15,DeMar DeRozan,SAS,27739975,27739975,27739975,,,,Cap Space,55479950
16,Chris Bosh,MIA,26837720,,,,,,,26837720
17,Otto Porter,CHI,26011913,27250576,28489239,,,,Bird Rights,53262489
18,Jrue Holiday,NOP,25976111,26131111,26131111,27020000,,,Bird Rights,78238333
19,CJ McCollum,POR,25759766,27556959,29354152,,,,1st Round Pick,82670877
20,Carmelo Anthony,ATL,25534253,,,,,,,25534253
,,, Salary ,,,,,,,
Rk,Player,Tm, 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 ,Signed Using, Guaranteed 
21,Andrew Wiggins,MIN,25467250,27270000,29290000,31310000,33330000,,1st Round Pick,146667250
22,Joel Embiid,PHI,25467250,27270000,29290000,31310000,33330000,,1st Round Pick,25467250
23,Bradley Beal,WAS,25434263,27093019,28751775,,,,Cap Space,81279057
24,Anthony Davis,NOP,25434263,27093019,28751775,,,,1st Round Pick,52527282
25,Andre Drummond,DET,25434263,27093019,28751775,,,,Cap Space,52527282
26,Hassan Whiteside,MIA,25434263,27093018,,,,,Cap Space,25434263
27,Nikola Jokic,DEN,24605181,26573595,28542009,30510423,32478837,,,142710045
28,Steven Adams,OKC,24157304,25842697,27528090,,,,1st Round Pick,77528091
29,Giannis Antetokounmpo,MIL,24157304,25842697,27528090,,,,1st Round Pick,77528091
30,Kevin Love,CLE,24119025,28900000,31300000,31300000,28900000,,Bird Rights,144519025
31,Marc Gasol,TOR,24119025,25595700,,,,,Bird Rights,24119025
32,Chandler Parsons,MEM,24107258,25102511,,,,,Cap Space,49209769
33,Harrison Barnes,SAC,24107258,25102512,,,,,Cap Space,24107258
34,Nicolas Batum,CHO,24000000,25565217,27130434,,,,Cap Space,49565217
35,Rudy Gobert,UTA,23241573,25008427,26525281,,,,1st Round Pick,74775281
36,Kawhi Leonard,TOR,23114067,21329752,,,,,Bird Rights,23114067
37,DeAndre Jordan,NYK,22900000,,,,,,,22900000
38,LaMarcus Aldridge,SAS,22347015,26000000,24000000,,,,Cap Space,55347015
39,Serge Ibaka,TOR,21666667,23271604,,,,,Cap space,44938271
40,Aaron Gordon,ORL,21590909,19863636,18136364,16409091,,,,76000000
,,, Salary ,,,,,,,
Rk,Player,Tm, 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 ,Signed Using, Guaranteed 
41,Danilo Gallinari,LAC,21587579,22615559,,,,,Sign and Trade,44203138
42,Victor Oladipo,IND,21000000,21000000,21000000,,,,1st Round Pick,63000000
43,Jimmy Butler,PHI,20445779,19841627,,,,,Bird Rights,20445779
44,Ryan Anderson,MIA,20421546,15600000,,,,,Cap Space,36021546
45,Kyrie Irving,BOS,20099189,21329750,,,,,Bird Rights,20099189
46,Jabari Parker,WAS,20000000,20000000,,,,,,20000000
47,Zach LaVine,CHI,19500000,19500000,19500000,19500000,,,,78000000
48,Tyler Johnson,PHO,19245370,19245370,,,,,Cap Space,19245370
49,John Wall,WAS,19169800,37800000,40824000,43848000,46872000,,Bird Rights,141641800
50,George Hill,MIL,19000000,18000000,,,,,Cap space,20000000
51,Jeff Teague,MIN,19000000,19000000,,,,,Cap space,19000000
52,Klay Thompson,GSW,18988725,,,,,,1st Round Pick,18988725
53,Dwight Howard,BRK,18919725,,,,,,,18919725
54,Enes Kanter,NYK,18622514,,,,,,,18622514
55,Wesley Matthews,NYK,18622514,,,,,,,18622514
56,Joakim Noah,NYK,18530000,6431666,6431666,6431666,,,,37824998
57,Allen Crabbe,BRK,18500000,18500000,,,,,Cap Space,18500000
58,Goran Dragic,MIA,18109175,19217900,,,,,Bird Rights,18109175
59,Kent Bazemore,ATL,18089887,19269662,,,,,Cap Space,18089887
60,Evan Turner,POR,17868852,18606557,,,,,Cap Space,36475409
,,, Salary ,,,,,,,
Rk,Player,Tm, 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 ,Signed Using, Guaranteed 
61,Draymond Green,GSW,17469565,18539130,,,,,Bird Rights,36008695
62,Tristan Thompson,CLE,17469565,18539130,,,,,Bird Rights,36008695
63,Tim Hardaway,DAL,17325000,18150000,18975000,,,,Cap space,35475000
64,Reggie Jackson,DET,17043478,18086956,,,,,Bird Rights,35130434
65,Evan Fournier,ORL,17000000,17000000,17000000,,,,Cap Space,34000000
66,Bismack Biyombo,CHO,17000000,17000000,,,,,Cap Space,17000000
67,Derrick Favors,UTA,16900000,16900000,,,,,,16000000
68,Jonas Valanciunas,MEM,16539326,17617977,,,,,1st Round Pick,16539326
69,Gary Harris,DEN,16517857,17839286,19160714,20482143,,,1st Round Pick,74000000
70,Andre Iguodala,GSW,16000000,17185185,,,,,Bird Rights,33185185
71,Timofey Mozgov,ORL,16000000,16720000,,,,,Cap Space,32720000
72,Ian Mahinmi,WAS,15944154,15450051,,,,,Cap Space,31394205
73,Dennis Schroder,OKC,15500000,15500000,15500000,,,,1st Round Pick,46500000
74,DeMarre Carroll,BRK,15400000,,,,,,Cap Space,15400000
75,Clint Capela,HOU,15293104,16456522,17500000,18543478,19586957,,,87380061
76,Gorgui Dieng,MIN,15170787,16229213,17287640,,,,1st Round Pick,48687640
77,Pau Gasol,SAS,15100000,5100000,,,,,,20200000
