Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Alex Abrines,SG,25,OKC,31,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.7,0.054,-2.5,-1,-3.4,-0.2
2,Quincy Acy,PF,28,PHO,10,123,2.9,0.379,0.833,0.556,2.7,20.2,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0.1,-0.1,-0.02,-5.6,-0.3,-5.9,-0.1
3,Jaylen Adams,PG,22,ATL,32,393,7.9,0.479,0.689,0.078,2.9,11.5,7.1,20.4,1.5,1.1,19.6,13.7,-0.1,0.2,0.1,0.014,-2.8,-1.5,-4.3,-0.2
4,Steven Adams,C,25,OKC,77,2593,18.9,0.596,0.003,0.36,14.6,14.8,14.7,6.8,2.1,2.4,12.6,16.4,5.1,4,9.1,0.168,0.8,2.2,3,3.3
5,Bam Adebayo,C,21,MIA,79,1841,17.8,0.623,0.028,0.469,9.3,23.7,16.5,14.4,1.8,3.1,17.3,15.6,3.4,3.2,6.6,0.171,-0.5,3.6,3,2.4
6,Deng Adel,SF,21,CLE,17,187,1.7,0.376,0.629,0.057,1.1,9.3,5,3.5,0.3,1.8,12.2,9.6,-0.2,0,-0.3,-0.07,-5.8,-1.8,-7.6,-0.3
7,DeVaughn Akoon-Purcell,SG,25,DEN,7,22,8.2,0.322,0.4,0.2,4.9,14.8,9.9,37.1,4.5,0,15.5,25,-0.1,0,0,-0.049,-4.3,0.8,-3.5,0
8,LaMarcus Aldridge,C,33,SAS,79,2621,22.7,0.573,0.031,0.312,10.1,19.6,14.9,11.7,0.8,3.4,8.8,26.9,6.1,2.7,8.8,0.161,1.1,0.4,1.5,2.3
9,Rawle Alkins,SG,21,CHI,8,88,9.4,0.417,0.344,0.281,12.3,16.3,14.2,17.7,0.6,0,16.3,21.3,-0.1,0,-0.1,-0.039,-3.4,-2.2,-5.6,-0.1
10,Grayson Allen,SG,23,UTA,35,347,6.1,0.514,0.589,0.298,0.3,4,2.2,8.4,0.7,1.1,15.4,23.2,-0.5,0.3,-0.1,-0.015,-4.2,-3.1,-7.3,-0.5
11,Jarrett Allen,C,20,BRK,78,2046,18.8,0.637,0.079,0.498,9.7,23.7,16.8,7.9,1,4.5,12.9,15.9,4.5,3.1,7.5,0.177,-0.5,3.1,2.6,2.4
12,Kadeem Allen,SG,26,NYK,18,387,15.7,0.582,0.252,0.351,2.1,10.6,6.2,27.7,1.7,0.7,14.7,19.5,0.6,0.2,0.8,0.103,0.3,-1.9,-1.6,0
13,Al-Farouq Aminu,PF,28,POR,79,2246,13,0.568,0.474,0.288,5.3,22.6,14.1,6.1,1.4,1.1,9.9,13.5,2.9,2.7,5.6,0.12,0,0.8,0.8,1.6
14,Justin Anderson,SF,25,ATL,46,432,11,0.501,0.483,0.208,5.5,13.7,9.5,6.8,2.2,2.6,11,17.2,0,0.3,0.3,0.037,-2.8,-0.6,-3.4,-0.2
15,Kyle Anderson,SF,25,MEM,43,1281,12.8,0.569,0.123,0.232,4.1,18.2,11,15,2.1,2.7,16,12.6,0.8,1.8,2.7,0.1,-2.1,3.2,1.1,1
16,Ryan Anderson,PF,30,TOT,24,321,4.6,0.414,0.58,0.232,6.1,12.6,9.3,7.8,0.6,0.3,15.5,12,-0.3,0,-0.2,-0.033,-4.4,-1.9,-6.4,-0.3
16,Ryan Anderson,PF,30,PHO,15,278,4.6,0.423,0.567,0.233,5.5,12.6,9,8.1,0.5,0.3,15.4,12.1,-0.2,0,-0.2,-0.037,-4.4,-2.1,-6.5,-0.3
16,Ryan Anderson,PF,30,MIA,9,43,4.6,0.354,0.667,0.222,9.9,12.4,11.2,6,1.1,0,16.8,11.8,0,0,0,-0.01,-4.9,-0.9,-5.8,0
17,Ike Anigbogu,C,20,IND,3,6,-6,0,0,0,18.9,36.3,27.8,19.4,0,14.9,25,29.2,-0.1,0,-0.1,-0.478,-22.6,8.6,-14,0
18,Giannis Antetokounmpo,PF,24,MIL,71,2334,30.7,0.642,0.161,0.547,7.2,30.2,19.4,30.3,1.8,3.9,14.9,32.3,8.7,5.4,14.1,0.291,5.6,5,10.6,7.4
19,Kostas Antetokounmpo,PF,21,DAL,2,11,-0.8,0.21,0,1.333,0,9.7,4.9,0,8.8,0,17.4,22.5,-0.1,0,-0.1,-0.247,-15.9,2.7,-13.3,0
20,Carmelo Anthony,PF,34,HOU,10,294,11,0.513,0.529,0.182,3.3,17.4,10.2,2.7,0.7,2,5.8,20.5,0.1,0.2,0.3,0.048,-3,-2.8,-5.8,-0.3
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
21,OG Anunoby,SF,21,TOR,65,1317,10,0.546,0.503,0.157,4.7,10.7,7.8,4.5,1.6,1.4,10.8,15.4,0.4,1.6,2,0.073,-1.2,0.1,-1.1,0.3
22,Ryan Arcidiacono,PG,24,CHI,79,1899,11.3,0.586,0.528,0.228,1.4,10.6,5.9,18.8,1.6,0.2,12.2,11.5,2.6,0.9,3.5,0.088,-0.1,-1,-1.2,0.4
23,Trevor Ariza,SF,33,TOT,69,2349,12.1,0.534,0.59,0.223,2.3,15.2,8.7,14.8,1.8,0.7,11.6,16.6,1.3,1.3,2.6,0.052,-0.1,-0.4,-0.5,0.9
23,Trevor Ariza,SF,33,PHO,26,884,10.5,0.525,0.612,0.189,2,16.5,9.1,13.5,2.1,0.8,13.7,13.8,0.2,0.5,0.7,0.037,-1.2,0.3,-0.9,0.2
23,Trevor Ariza,SF,33,WAS,43,1465,13,0.538,0.58,0.238,2.5,14.5,8.4,15.5,1.7,0.7,10.6,18.2,1.1,0.8,1.9,0.062,0.6,-0.8,-0.2,0.7
24,D.J. Augustin,PG,31,ORL,79,2206,15.7,0.618,0.462,0.314,1.9,7.5,4.6,26.8,1.1,0.2,14.2,17.1,5,1.8,6.8,0.148,1.7,-2,-0.3,0.9
25,Deandre Ayton,C,20,PHO,71,2183,20.5,0.608,0.005,0.217,11.2,26.2,18.6,9.6,1.3,2.5,11.7,21.2,4.1,1.8,5.9,0.13,0,0.2,0.2,1.2
26,Dwayne Bacon,SG,23,CHO,40,667,11.3,0.56,0.341,0.202,1.3,12.9,6.9,9.5,0.7,0.7,6.5,16.7,0.7,0.3,1,0.069,-1.5,-2.3,-3.8,-0.3
27,Marvin Bagley,PF,19,SAC,60,1506,18.8,0.563,0.131,0.38,10.5,20.4,15.3,6.2,1,3.3,11,24.2,1.9,1.6,3.5,0.112,-1.1,-0.5,-1.6,0.1
28,Ron Baker,SG,25,TOT,15,152,2.5,0.309,0.65,0.3,0.7,7.2,3.8,12.8,1.9,0.6,18.1,7.7,-0.2,0.1,-0.1,-0.035,-5.9,-0.8,-6.7,-0.2
28,Ron Baker,SG,25,NYK,11,107,4.4,0.376,0.563,0.375,1,6,3.4,16.1,2.2,0,13.9,8.6,0,0,0,0.001,-4.6,-1.5,-6.1,-0.1
28,Ron Baker,SG,25,WAS,4,45,-2,0,1,0,0,9.8,4.8,5.1,1.1,1.9,33.3,5.7,-0.1,0,-0.1,-0.12,-8.8,0.8,-8,-0.1
29,Wade Baldwin,PG,22,POR,16,94,1.3,0.396,0.273,0.333,2.3,14.4,8.5,16.7,0.5,1.7,27,23.3,-0.4,0.1,-0.3,-0.153,-9.3,-1.4,-10.7,-0.2
30,Lonzo Ball,PG,21,LAL,47,1423,11.7,0.487,0.5,0.105,4,14,9.1,23.8,2.3,1.1,17.8,16.9,-0.2,1.7,1.5,0.052,-0.9,1.4,0.5,0.9
31,Mohamed Bamba,C,20,ORL,47,766,14.9,0.539,0.288,0.259,8.8,23.9,16.2,7.5,0.8,7,13.7,17.8,0.3,1.4,1.7,0.106,-3.3,3.2,-0.2,0.4
32,J.J. Barea,PG,34,DAL,38,752,16.4,0.495,0.332,0.203,1.9,11.6,6.8,47.6,1.4,0.1,14.7,28.1,0.4,0.6,1,0.064,1.1,-2.2,-1.1,0.2
33,Harrison Barnes,PF-SF,26,TOT,75,2480,12.5,0.546,0.429,0.265,2.3,12.8,7.5,6.7,1,0.4,8,20.9,1.7,1.6,3.3,0.064,-0.7,-1.7,-2.5,-0.3
33,Harrison Barnes,PF,26,DAL,49,1584,13.1,0.538,0.434,0.276,2.5,11.5,7,6.3,1,0.6,7.8,23.7,0.9,1.1,1.9,0.059,-0.8,-2.1,-3,-0.4
33,Harrison Barnes,SF,26,SAC,26,896,11.5,0.566,0.417,0.236,2.1,15.1,8.4,7.3,0.9,0.1,8.6,16,0.8,0.6,1.4,0.074,-0.6,-1,-1.5,0.1
34,Will Barton,SG,28,DEN,40,1113,11.2,0.507,0.427,0.16,3,14.7,8.9,14.6,0.8,1.7,11.8,20.4,0.2,1.1,1.2,0.052,-1.6,-0.5,-2.1,0
35,Keita Bates-Diop,SF,23,MIN,27,442,9.5,0.487,0.36,0.208,3.6,13.2,8.3,4.3,1.5,2.3,6.8,13.9,0,0.3,0.3,0.035,-3,-0.3,-3.3,-0.2
36,Nicolas Batum,SF,30,CHO,72,2284,12.1,0.584,0.528,0.16,3.2,14.8,8.9,14.5,1.5,1.6,16.2,13.4,2,1.7,3.7,0.078,0,0.9,0.9,1.7
37,Jerryd Bayless,PG,30,MIN,34,657,8.6,0.431,0.426,0.122,1.8,8.4,5,24.6,1.3,0.3,11.7,17.5,-0.2,0.2,0,-0.001,-2.3,-2.7,-5,-0.5
38,Aron Baynes,C,32,BOS,50,807,14,0.568,0.274,0.283,11.4,19.9,15.6,9,0.7,3.7,13.7,15.2,1.2,1.1,2.3,0.14,-1.2,1.4,0.1,0.4
39,Kent Bazemore,SG,29,ATL,65,1601,12.2,0.511,0.429,0.256,2.4,14.8,8.5,13.5,2.6,2.3,13.8,22,-0.6,1.4,0.8,0.024,-2.2,0.2,-2,0
40,Bradley Beal,SG,25,WAS,80,2988,20.8,0.583,0.371,0.281,3.1,11.7,7.3,23.9,1.9,1.6,11.2,28.4,5.8,1.7,7.5,0.12,3.9,-1.1,2.7,3.6
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
