,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1,Alex Abrines,SG,25,OKC,31,588,6.3,.507,.809,.083,0.9,7.7,4.2,4.3,1.3,0.8,7.9,12.2,,0.1,0.6,0.7,.054,,-2.4,-1.0,-3.4,-0.2
1,2,Quincy Acy,PF,28,PHO,10,123,2.9,.379,.833,.556,2.7,20.3,11.3,8.2,0.4,2.7,15.2,9.2,,-0.1,0.1,0.0,-0.019,,-5.6,-0.2,-5.8,-0.1
2,3,Jaylen Adams,PG,22,ATL,20,198,9.5,.530,.750,.038,3.2,11.5,7.3,20.2,1.4,0.9,18.5,13.4,,0.1,0.1,0.2,.046,,-1.6,-2.0,-3.6,-0.1
3,4,Steven Adams,C,25,OKC,65,2201,18.9,.604,.002,.385,14.2,15.2,14.7,6.7,2.2,2.0,12.7,16.4,,4.5,3.4,7.9,.172,,0.9,2.1,3.0,2.7
4,5,Bam Adebayo,C,21,MIA,66,1476,17.5,.625,.028,.532,9.6,22.6,16.1,13.8,1.7,3.1,17.5,15.4,,2.8,2.3,5.1,.167,,-0.5,3.1,2.6,1.7
5,6,Deng Adel,SF,21,CLE,13,160,2.2,.405,.667,.067,1.3,8.7,4.9,3.4,0.3,2.2,13.9,9.8,,-0.2,0.0,-0.2,-0.061,,-5.5,-1.6,-7.1,-0.2
6,7,DeVaughn Akoon-Purcell,SG,25,DEN,7,22,8.3,.322,.400,.200,4.9,14.9,9.9,36.8,4.4,0.0,15.5,24.8,,-0.1,0.0,0.0,-0.046,,-4.3,0.6,-3.7,0.0
7,8,LaMarcus Aldridge,C,33,SAS,66,2170,22.7,.572,.028,.318,10.1,19.5,14.8,12.0,0.8,3.2,9.1,27.2,,5.1,2.1,7.1,.158,,1.1,0.1,1.3,1.8
8,9,Rawle Alkins,SG,21,CHI,3,6,38.0,.375,.250,.000,54.5,0.0,27.4,51.4,8.1,0.0,0.0,29.2,,0.0,0.0,0.0,.354,,20.1,7.3,27.3,0.0
9,10,Grayson Allen,SG,23,UTA,31,292,4.5,.459,.640,.333,0.4,3.7,2.0,8.8,0.7,0.8,11.5,21.6,,-0.4,0.2,-0.2,-0.029,,-4.5,-3.5,-8.0,-0.4
10,11,Jarrett Allen,C,20,BRK,67,1785,19.1,.632,.085,.475,10.0,23.7,16.9,8.3,1.0,4.5,12.6,16.1,,4.0,2.8,6.7,.181,,-0.3,3.2,2.9,2.2
11,12,Kadeem Allen,SG,26,NYK,10,225,17.2,.578,.211,.342,2.2,11.6,6.7,31.5,1.7,0.4,11.2,18.5,,0.5,0.1,0.6,.138,,1.2,-2.0,-0.8,0.1
12,13,Al-Farouq Aminu,PF,28,POR,66,1911,13.2,.578,.490,.296,5.4,22.3,14.0,6.2,1.4,1.1,9.8,13.1,,2.7,2.2,4.9,.124,,0.2,0.9,1.1,1.5
13,14,Justin Anderson,SF,25,ATL,36,277,7.7,.459,.473,.231,4.2,13.3,8.6,6.5,2.0,2.5,13.0,17.0,,-0.2,0.2,0.0,-0.008,,-4.7,-0.9,-5.6,-0.2
14,15,Kyle Anderson,SF,25,MEM,43,1281,12.9,.569,.123,.232,4.2,18.2,11.1,15.2,2.1,2.8,16.0,12.7,,0.8,2.0,2.9,.108,,-2.1,3.5,1.5,1.1
15,16,Ryan Anderson,PF,30,TOT,20,298,5.0,.437,.569,.246,5.9,12.2,9.0,8.0,0.5,0.3,15.3,12.2,,-0.2,0.0,-0.2,-0.028,,-4.1,-2.1,-6.2,-0.3
16,16,Ryan Anderson,PF,30,PHO,15,278,4.6,.423,.567,.233,5.5,12.7,9.0,8.1,0.5,0.3,15.4,12.1,,-0.2,0.0,-0.2,-0.036,,-4.4,-2.0,-6.4,-0.3
17,16,Ryan Anderson,PF,30,MIA,5,20,9.9,.595,.600,.400,10.8,5.4,8.1,6.9,0.0,0.0,14.5,14.7,,0.0,0.0,0.0,.082,,-0.2,-3.5,-3.7,0.0
18,17,Ike Anigbogu,C,20,IND,3,6,-6.0,.000,.000,.000,19.0,36.2,27.8,19.3,0.0,14.9,25.0,29.2,,-0.1,0.0,-0.1,-0.476,,-22.6,8.6,-14.0,0.0
19,18,Giannis Antetokounmpo,PF,24,MIL,62,2047,30.2,.639,.148,.536,7.6,30.4,19.6,30.2,1.9,3.6,15.3,31.8,,7.3,4.8,12.1,.284,,5.4,5.0,10.4,6.4
20,19,Carmelo Anthony,PF,34,HOU,10,294,11.0,.513,.529,.182,3.3,17.6,10.3,2.7,0.7,2.0,5.8,20.4,,0.1,0.2,0.3,.043,,-2.9,-3.2,-6.1,-0.3
21,20,OG Anunoby,SF,21,TOR,57,1171,9.9,.543,.504,.148,4.7,11.2,8.0,4.5,1.6,1.1,10.3,15.2,,0.4,1.3,1.7,.071,,-1.1,0.0,-1.1,0.3
22,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
23,21,Ryan Arcidiacono,PG,24,CHI,67,1650,10.7,.589,.592,.226,1.2,10.0,5.6,19.0,1.6,0.2,13.5,10.6,,2.1,0.8,2.9,.085,,-0.3,-1.0,-1.2,0.3
24,22,Trevor Ariza,SF,33,TOT,63,2225,12.2,.534,.588,.227,2.4,15.3,8.7,14.9,1.9,0.6,11.4,16.6,,1.4,1.2,2.6,.055,,0.0,-0.3,-0.3,1.0
25,22,Trevor Ariza,SF,33,PHO,26,884,10.5,.525,.612,.189,2.0,16.6,9.1,13.5,2.1,0.8,13.7,13.8,,0.2,0.5,0.7,.038,,-1.2,0.3,-0.8,0.3
26,22,Trevor Ariza,SF,33,WAS,37,1341,13.2,.539,.577,.245,2.7,14.4,8.5,15.8,1.7,0.6,10.3,18.3,,1.2,0.7,1.9,.067,,0.8,-0.7,0.1,0.7
27,23,D.J. Augustin,PG,31,ORL,67,1851,15.4,.626,.476,.333,1.8,7.2,4.5,25.6,1.1,0.1,14.6,16.9,,4.0,1.4,5.4,.141,,1.6,-2.1,-0.4,0.7
28,24,Deandre Ayton,C,20,PHO,62,1920,21.0,.613,.005,.221,11.0,26.5,18.6,10.4,1.3,2.4,11.0,21.1,,4.1,1.5,5.7,.142,,0.5,0.4,0.8,1.4
29,25,Dwayne Bacon,SG,23,CHO,28,344,11.0,.603,.318,.140,0.9,13.0,6.9,9.4,0.7,0.3,10.3,15.8,,0.4,0.1,0.5,.073,,-1.7,-2.4,-4.2,-0.2
30,26,Marvin Bagley,PF,19,SAC,47,1165,18.2,.566,.127,.405,10.1,19.8,14.9,6.0,1.1,3.4,11.7,23.1,,1.4,1.3,2.7,.111,,-1.4,-0.1,-1.5,0.2
31,27,Ron Baker,SG,25,TOT,15,152,2.5,.309,.650,.300,0.7,7.2,3.8,12.7,1.9,0.6,18.1,7.7,,-0.2,0.1,-0.1,-0.033,,-5.8,-0.7,-6.6,-0.2
32,27,Ron Baker,SG,25,NYK,11,107,4.4,.376,.563,.375,0.9,6.1,3.4,15.9,2.2,0.0,13.9,8.6,,0.0,0.0,0.0,.004,,-4.5,-1.3,-5.9,-0.1
33,27,Ron Baker,SG,25,WAS,4,45,-2.0,.000,1.000,.000,0.0,9.8,4.8,5.1,1.0,1.9,33.3,5.7,,-0.1,0.0,-0.1,-0.120,,-8.9,0.7,-8.2,-0.1
34,28,Wade Baldwin,PG,22,POR,16,94,1.4,.396,.273,.333,2.3,14.4,8.5,16.8,0.5,1.7,27.0,23.3,,-0.4,0.1,-0.3,-0.154,,-9.4,-1.4,-10.8,-0.2
35,29,Lonzo Ball,PG,21,LAL,47,1423,11.8,.487,.500,.105,4.0,14.0,9.1,23.7,2.3,1.1,17.8,16.9,,-0.2,1.7,1.5,.051,,-0.9,1.3,0.4,0.9
36,30,Mohamed Bamba,C,20,ORL,47,766,15.0,.539,.288,.259,8.8,24.0,16.3,7.5,0.8,7.0,13.7,17.9,,0.3,1.4,1.6,.103,,-3.3,3.1,-0.2,0.4
37,31,J.J. Barea,PG,34,DAL,38,752,16.5,.495,.332,.203,1.9,11.6,6.8,48.3,1.4,0.1,14.7,28.0,,0.5,0.6,1.1,.068,,1.2,-2.2,-1.0,0.2
38,32,Harrison Barnes,PF-SF,26,TOT,61,2018,12.9,.539,.435,.276,2.5,12.8,7.6,6.6,1.1,0.5,7.7,21.9,,1.4,1.5,2.8,.068,,-0.8,-1.7,-2.6,-0.3
39,32,Harrison Barnes,PF,26,DAL,49,1584,13.2,.538,.434,.276,2.5,11.5,7.0,6.4,1.0,0.6,7.8,23.6,,1.0,1.1,2.1,.063,,-0.8,-2.1,-3.0,-0.4
40,32,Harrison Barnes,SF,26,SAC,12,434,11.7,.542,.444,.274,2.5,17.6,9.9,7.3,1.4,0.2,7.3,15.5,,0.4,0.4,0.8,.084,,-0.9,-0.3,-1.2,0.1
41,33,Will Barton,SG,28,DEN,26,724,12.8,.520,.411,.181,3.4,16.1,9.7,16.4,0.7,1.9,11.7,20.5,,0.5,0.7,1.2,.077,,-0.9,-0.5,-1.3,0.1
