"Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed"
"1,Stephen Curry\curryst01,GSW,$37457154,$40231758,$43006362,$45780966,,,Bird Rights,$166476240"
"2,Chris Paul\paulch01,HOU,$35654150,$38506482,$41358814,$44211146,,,,$159730592"
"3,Russell Westbrook\westbru01,OKC,$35654150,$38178000,$41006000,$43848000,$46662000,,Bird Rights,$158686150"
"4,LeBron James\jamesle01,LAL,$35654150,$37436858,$39219565,$41002273,,,,$113310573"
"5,Blake Griffin\griffbl01,DET,$32088932,$34234964,$36595996,$38957028,,,Bird Rights,$102919892"
"6,Gordon Hayward\haywago01,BOS,$31214295,$32700690,$34187085,,,,Cap space,$63914985"
"7,Kyle Lowry\lowryky01,TOR,$31200000,$33296296,,,,,Bird Rights,$64496296"
"8,Paul George\georgpa01,OKC,$30560700,$33005556,$35450412,$37895268,,,Maximum Salary,$99016668"
"9,Mike Conley\conlemi01,MEM,$30521116,$32511623,$34504132,,,,Cap Space,$85459122"
"10,James Harden\hardeja01,HOU,$30431854,$37800000,$40824000,$43848000,$46872000,,Bird Rights,$152903854"
"11,Kevin Durant\duranke01,GSW,$30000000,$31500000,,,,,,$30000000"
"12,Paul Millsap\millspa01,DEN,$29730769,$30500000,,,,,Cap space,$29730769"
"13,Al Horford\horfoal01,BOS,$28928710,$30123015,,,,,Cap Space,$28928710"
"14,Damian Lillard\lillada01,POR,$27977689,$29802321,$31626953,,,,1st Round Pick,$89406963"
"15,DeMar DeRozan\derozde01,SAS,$27739975,$27739975,$27739975,,,,Cap Space,$55479950"
"16,Chris Bosh\boshch01,MIA,$26837720,,,,,,,$26837720"
"17,Otto Porter\porteot01,CHI,$26011913,$27250576,$28489239,,,,Bird Rights,$53262489"
"18,Jrue Holiday\holidjr01,NOP,$25976111,$26131111,$26131111,$27020000,,,Bird Rights,$78238333"
"19,CJ McCollum\mccolcj01,POR,$25759766,$27556959,$29354152,,,,1st Round Pick,$82670877"
"20,Carmelo Anthony\anthoca01,ATL,$25534253,,,,,,,$25534253"
"21,Andrew Wiggins\wiggian01,MIN,$25467250,$27270000,$29290000,$31310000,$33330000,,1st Round Pick,$146667250"
"22,Joel Embiid\embiijo01,PHI,$25467250,$27270000,$29290000,$31310000,$33330000,,1st Round Pick,$25467250"
