Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines,SG,25,OKC,31,588,6.3,0.507,0.809,0.083,0.9,7.7,4.2,4.3,1.3,0.8,7.9,12.2,,0.1,0.6,0.7,0.053,,-2.4,-1,-3.4,-0.2
2,Quincy Acy,PF,28,PHO,10,123,2.9,0.379,0.833,0.556,2.7,20.5,11.4,8.2,0.4,2.7,15.2,9.2,,-0.1,0,-0.1,-0.021,,-5.7,-0.3,-6,-0.1
3,Jaylen Adams,PG,22,ATL,15,102,9.1,0.523,0.696,0.087,3.1,10.6,6.8,19.2,1.4,1.7,17.3,11.6,,0.1,0,0.1,0.055,,-2.2,-1.6,-3.8,0
4,Steven Adams,C,25,OKC,60,2028,19.1,0.606,0.002,0.383,13.9,15.3,14.6,6.8,2.2,1.8,12.2,16.6,,4.4,3.1,7.4,0.176,,1,1.9,2.9,2.5
5,Bam Adebayo,C,21,MIA,62,1378,17,0.612,0.028,0.552,9.6,22.8,16.2,13.7,1.7,3.1,17.3,15.1,,2.4,2.2,4.7,0.162,,-0.8,3.3,2.5,1.6
6,Deng Adel,SF,21,CLE,12,158,2.2,0.405,0.667,0.067,1.3,8.1,4.6,3.4,0.3,2.2,13.9,9.9,,-0.2,0,-0.2,-0.065,,-5.5,-1.7,-7.2,-0.2
7,DeVaughn Akoon-Purcell,SG,25,DEN,7,22,8.3,0.322,0.4,0.2,4.9,14.8,9.9,36.7,4.4,0,15.5,24.8,,-0.1,0,0,-0.046,,-4.2,0.5,-3.7,0
8,LaMarcus Aldridge,C,33,SAS,63,2058,22.6,0.569,0.025,0.322,10.3,19.3,14.8,12.3,0.8,3.2,8.9,27.1,,4.8,1.9,6.7,0.156,,1.2,0.1,1.3,1.7
9,Rawle Alkins,SG,21,CHI,3,6,37.9,0.375,0.25,0,54.7,0,27.3,51.7,8.1,0,0,29.3,,0,0,0,0.355,,20.1,7.4,27.5,0
10,Grayson Allen,SG,23,UTA,29,286,4,0.446,0.631,0.342,0.4,3.7,2.1,8.9,0.7,0.8,11.1,21.5,,-0.4,0.2,-0.2,-0.034,,-4.7,-3.3,-8,-0.4
11,Jarrett Allen,C,20,BRK,63,1683,18.6,0.622,0.087,0.452,9.7,24.1,16.9,8.3,1,4.6,12.9,16.2,,3.4,2.4,5.8,0.166,,-0.6,3,2.4,1.8
12,Kadeem Allen,SG,26,NYK,10,225,17.2,0.578,0.211,0.342,2.2,11.6,6.7,31.3,1.7,0.4,11.2,18.5,,0.5,0.1,0.6,0.137,,1.2,-2,-0.8,0.1
13,Al-Farouq Aminu,PF,28,POR,62,1790,13.6,0.581,0.49,0.3,5.5,22.6,14.3,6.2,1.5,1.1,9.1,13,,2.8,2.2,4.9,0.132,,0.4,1.1,1.5,1.6
14,Justin Anderson,SF,25,ATL,33,254,8.6,0.468,0.46,0.241,4.6,14.5,9.5,7.2,2,2.4,12.7,17.7,,-0.2,0.2,0,0,,-4.4,-1,-5.4,-0.2
15,Kyle Anderson,SF,25,MEM,43,1281,12.9,0.569,0.123,0.232,4.1,18.3,11.1,15.2,2.1,2.8,16,12.8,,0.8,2,2.8,0.107,,-2.2,3.5,1.4,1.1
16,Ryan Anderson,PF,30,TOT,19,294,5.1,0.437,0.569,0.246,6,12.4,9.1,8.2,0.5,0.3,15.3,12.4,,-0.2,0,-0.2,-0.031,,-4.1,-2.2,-6.3,-0.3
16,Ryan Anderson,PF,30,PHO,15,278,4.6,0.423,0.567,0.233,5.5,12.8,9.1,8.1,0.5,0.3,15.4,12.1,,-0.2,0,-0.2,-0.038,,-4.4,-2.1,-6.5,-0.3
16,Ryan Anderson,PF,30,MIA,4,16,13.3,0.595,0.6,0.4,13.4,6.7,10,9,0,0,14.5,18.4,,0,0,0,0.1,,1.2,-3.8,-2.6,0
17,Ike Anigbogu,C,20,IND,3,6,-6,0,0,0,19.1,36.3,27.9,19.2,0,15,25,29.2,,-0.1,0,-0.1,-0.473,,-22.6,8.6,-13.9,0
18,Giannis Antetokounmpo,PF,24,MIL,58,1915,30.3,0.637,0.144,0.53,7.6,30.4,19.7,30.3,1.9,3.8,15.1,31.9,,6.8,4.6,11.4,0.285,,5.3,5.2,10.6,6.1
19,Carmelo Anthony,PF,34,HOU,10,294,11,0.513,0.529,0.182,3.3,17.8,10.3,2.7,0.7,2,5.8,20.4,,0.1,0.2,0.2,0.04,,-3,-3.4,-6.4,-0.3
20,OG Anunoby,SF,21,TOR,52,1050,9.3,0.531,0.509,0.13,4.1,11.9,8,4.4,1.5,1,9.5,15.4,,0.2,1.2,1.4,0.062,,-1.4,-0.2,-1.6,0.1
21,Ryan Arcidiacono,PG,24,CHI,62,1535,10.5,0.588,0.64,0.205,1,9.8,5.4,19.4,1.7,0.1,13.5,10.2,,2,0.8,2.8,0.088,,-0.3,-0.9,-1.2,0.3
22,Trevor Ariza,SF,33,TOT,58,2054,11.8,0.526,0.589,0.215,2.3,15.6,8.8,15.1,2,0.7,12.2,16.5,,0.8,1.2,2,0.046,,-0.4,-0.2,-0.6,0.7
22,Trevor Ariza,SF,33,PHO,26,884,10.6,0.525,0.612,0.189,2,16.7,9.2,13.6,2.1,0.8,13.7,13.9,,0.2,0.5,0.7,0.036,,-1.2,0.3,-0.9,0.2
22,Trevor Ariza,SF,33,WAS,32,1170,12.7,0.527,0.577,0.229,2.5,14.8,8.5,16.2,1.9,0.6,11.4,18.5,,0.6,0.7,1.3,0.053,,0.2,-0.5,-0.3,0.5
23,D.J. Augustin,PG,31,ORL,63,1733,15.5,0.629,0.479,0.347,1.9,7,4.4,25.7,1,0.1,14.5,16.7,,4,1.3,5.2,0.145,,1.7,-2.1,-0.4,0.7
24,Deandre Ayton,C,20,PHO,58,1794,21.1,0.617,0.006,0.229,11.3,26.9,18.9,10.5,1.4,2.4,11.6,21.1,,3.8,1.4,5.2,0.14,,0.5,0.4,0.9,1.3
25,Dwayne Bacon,SG,23,CHO,25,265,11.8,0.622,0.298,0.143,1.2,14.9,7.9,9.6,0.5,0.3,11.8,16.4,,0.3,0.1,0.4,0.078,,-1.7,-2.6,-4.3,-0.2
26,Marvin Bagley,PF,19,SAC,47,1165,18.2,0.566,0.127,0.405,10.1,19.8,14.8,5.9,1.1,3.4,11.7,23,,1.4,1.3,2.7,0.11,,-1.3,-0.1,-1.5,0.2
27,Ron Baker,SG,25,TOT,15,152,2.5,0.309,0.65,0.3,0.7,7.2,3.9,12.7,1.9,0.6,18.1,7.7,,-0.2,0.1,-0.1,-0.034,,-5.8,-0.7,-6.5,-0.2
27,Ron Baker,SG,25,NYK,11,107,4.4,0.376,0.563,0.375,0.9,6.1,3.4,15.9,2.2,0,13.9,8.6,,0,0,0,0.002,,-4.5,-1.4,-5.8,-0.1
27,Ron Baker,SG,25,WAS,4,45,-2,0,1,0,0,10,4.9,5.1,1,1.9,33.3,5.7,,-0.1,0,-0.1,-0.12,,-9,0.8,-8.3,-0.1
28,Wade Baldwin,PG,22,POR,16,94,1.4,0.396,0.273,0.333,2.3,14.4,8.5,16.8,0.5,1.7,27,23.3,,-0.4,0.1,-0.3,-0.153,,-9.4,-1.3,-10.7,-0.2
29,Lonzo Ball,PG,21,LAL,47,1423,11.8,0.487,0.5,0.105,4,14,9.1,23.7,2.3,1.1,17.8,16.9,,-0.1,1.7,1.6,0.053,,-0.9,1.4,0.5,0.9
30,Mohamed Bamba,C,20,ORL,47,766,15,0.539,0.288,0.259,8.9,24,16.3,7.5,0.8,6.9,13.7,17.9,,0.3,1.4,1.7,0.104,,-3.2,3.1,-0.1,0.4
31,J.J. Barea,PG,34,DAL,38,752,16.4,0.495,0.332,0.203,1.9,11.6,6.8,48.2,1.4,0.1,14.7,28,,0.5,0.6,1.1,0.071,,1.2,-2.1,-0.9,0.2
32,Harrison Barnes,PF-SF,26,TOT,57,1872,12.6,0.532,0.434,0.271,2.7,12.1,7.4,6.7,1.1,0.5,8,22.3,,1,1.4,2.4,0.063,,-1,-1.7,-2.7,-0.3
32,Harrison Barnes,PF,26,DAL,49,1584,13.2,0.538,0.434,0.276,2.5,11.4,7,6.4,1,0.6,7.8,23.6,,1,1.2,2.2,0.066,,-0.8,-2,-2.8,-0.3
32,Harrison Barnes,SF,26,SAC,8,288,9.3,0.48,0.437,0.23,3.8,15.6,9.6,8.4,1.4,0.3,9.5,15.1,,0,0.2,0.3,0.042,,-2.1,-0.2,-2.3,0
33,Will Barton,SG,28,DEN,23,634,13,0.519,0.388,0.196,3.6,15.4,9.5,17.4,0.7,1.8,11.4,20.5,,0.5,0.6,1.1,0.083,,-0.7,-0.6,-1.3,0.1
34,Keita Bates-Diop,SF,23,MIN,10,76,9.6,0.448,0.474,0.263,2.8,19.9,11.3,3.5,1.3,4.5,4.5,12.2,,0,0.1,0.1,0.038,,-4.6,0.7,-3.9,0
35,Nicolas Batum,SF,30,CHO,62,1971,12.5,0.594,0.516,0.167,3.1,14.9,8.9,15,1.5,1.6,16.3,13.4,,2,1.6,3.6,0.088,,0.4,0.9,1.3,1.6
